"ID","MonthlySalary"
871,5805.21378193906
872,2816.30173389927
873,12999.7024082827
874,2769.22768652929
875,2593.70389099381
876,4788.46013829535
877,5647.60557152114
878,2454.37218350722
879,2949.28630192746
880,13254.1341977128
881,9480.43087199055
882,2847.85133283136
883,5568.98192521907
884,5536.01724152643
885,5669.00180955462
886,5751.49812561926
887,5753.43796538406
888,5507.55070380762
889,4761.78081106984
890,3078.478645096
891,4705.9684875618
892,8987.65367395841
893,8790.73364038946
894,5575.32906467747
895,9755.43992193055
896,9163.46181708644
897,8812.12987842293
898,16381.5759703575
899,5726.22921782322
900,2792.03900932331
901,2617.96661556977
902,5410.00528916789
903,6237.64383660046
904,2887.16315598239
905,16051.0209227013
906,5433.1308706484
907,9186.79789488471
908,5902.39827876501
909,2651.29221707618
910,2659.05444129513
911,19267.3028418849
912,3117.79046824704
913,2650.93129926241
914,12620.4472735145
915,5902.39827876501
916,4374.64880120411
917,2674.1035398702
918,5472.44269379944
919,2348.42786051832
920,2790.26300674899
921,2466.36332997143
922,2421.40749981458
923,4468.32154608126
924,4479.26416111021
925,16609.3704263583
926,2965.78680228447
927,5669.00180955462
928,12777.3435143791
929,2415.06036035619
930,2690.24312241344
931,5865.5609253098
932,12441.4526911373
933,8772.8180552719
934,2500.03114611666
935,2357.83295208759
936,2475.7684215407
937,9283.69804411812
938,9596.25278956161
939,5123.34944364812
940,2284.85331279133
941,3162.34591803965
942,8812.12987842293
943,9480.43087199055
944,5942.07101972982
945,2245.54148964029
946,5556.87884962888
947,2348.42786051832
948,2674.1035398702
949,3157.10229139808
950,5647.60557152114
951,3203.43374376501
952,5590.37816325255
953,5571.92794820396
954,2611.61947611137
955,4468.32154608126
956,7842.07692721422
957,10089.0299875937
958,2965.78680228447
959,9262.47551820189
960,20111.127630988
961,2792.03900932331
962,4763.1958958304
963,5768.48706395914
964,4856.19615095005
965,2698.36626444616
966,19481.7775427576
967,3006.87462800983
968,8830.0454635405
969,16750.4314772919
970,2769.22768652929
971,5551.06634010151
972,5650.55159450603
973,2769.22768652929
974,2595.47989356813
975,5790.8099487703
976,2776.98991074823
977,6004.35800286536
978,2792.03900932331
979,9302.79352457302
980,19324.881301893
981,2735.55987038406
982,8969.37717102708
983,2554.39206784277
984,2442.10060539547
985,5844.5256050901
986,2927.89006389398
987,2849.62733540568
988,5252.75799656375
989,9460.04081717717
990,2928.25098170776
991,4895.50797410108
992,2752.72718617228
993,4856.19615095005
994,5726.59013563699
995,5511.75451695047
996,5235.2986914566
997,2737.6780875972
998,16553.5213097972
999,9105.58914341152
1000,2611.98039392514
1001,5070.67085182279
1002,4301.66916190784
1003,4745.28031071283
1004,6374.14015657744
1005,3203.43374376501
1006,5693.26453413058
1007,2324.16513594236
1008,5904.69903634359
1009,19442.8167713461
1010,4609.81660765773
1011,9302.79352457302
1012,5078.05139885246
1013,5844.16468727632
1014,4801.09263422088
1015,5883.83742824113
1016,2633.01571414484
1017,2711.63936044692
1018,8474.50971173414
1019,8851.44170157397
1020,2613.39547868569
1021,5629.68998640358
1022,5252.75799656375
1023,4881.49228309728
1024,9407.61973521585
1025,16318.0014226305
1026,19189.0302473224
1027,4738.26068149694
1028,5529.67010206804
1029,5490.358278917
1030,8488.98168274836
1031,5496.70541837539
1032,2981.5784958626
1033,12408.4880074447
1034,2652.70730183673
1035,4801.09263422088
1036,2659.05444129513
1037,5575.32906467747
1038,8371.40713110902
1039,12408.4880074447
1040,5689.86341765707
1041,2611.61947611137
1042,3046.18645116086
1043,8772.8180552719
1044,6040.72380303151
1045,2752.72718617228
1046,2357.83295208759
1047,5805.85904734538
1048,12795.97106905
1049,3124.81009746294
1050,5608.29374837011
1051,9672.78617460287
1052,2696.59026187184
1053,5826.07539004151
1054,2792.03900932331
1055,2792.03900932331
1056,2554.39206784277
1057,5830.12177192133
1058,15836.5462218286
1059,5188.6063212759
1060,2855.61355705031
1061,4920.44318843454
1062,6138.630135485
1063,5847.11071026121
1064,2363.4769590934
1065,5983.32268264566
1066,2578.65479241873
1067,3596.55197527537
1068,19660.7721251348
1069,5472.44269379944
1070,2656.93622408199
1071,2442.10060539547
1072,6098.95739452019
1073,2324.16513594236
1074,5650.55159450603
1075,5213.44617341271
1076,16072.4171607348
1077,19385.5893630775
1078,4507.63336923229
1079,4745.28031071283
1080,5156.31412734076
1081,3124.81009746294
1082,2967.56280485879
1083,2284.85331279133
1084,5865.5609253098
1085,9027.61076251577
1086,9420.08372861981
1087,5511.75451695047
1088,2493.73066578555
1089,3046.18645116086
1090,5511.75451695047
1091,5614.6408878285
1092,6119.70836714735
1093,12384.2252828687
1094,5551.06634010151
1095,5550.53171017049
1096,6099.31831233396
1097,3281.69647225331
1098,2824.33120325845
1099,2633.01571414484
1100,6177.94195863604
1101,19252.6047950494
1102,5647.60557152114
1103,5844.16468727632
1104,9812.8410423164
1105,3124.81009746294
1106,2870.66265562539
1107,2909.97447877642
1108,5031.71994648552
1109,5551.06634010151
1110,5765.90195878802
1111,6101.25815209877
1112,12156.9076578301
1113,12723.3336443925
1114,6040.72380303151
1115,9344.04518748886
1116,2870.66265562539
1117,6492.43654384433
1118,4507.63336923229
1119,9304.73336433782
1120,2560.03607484858
1121,9165.93628678226
1122,16808.0198033743
1123,4745.28031071283
1124,16414.5406540502
1125,2634.79171671917
1126,2348.42786051832
1127,2554.39206784277
1128,4722.46898791881
1129,16090.6936636661
1130,2539.34296926769
1131,12599.0609015553
1132,16572.1488644681
1133,5904.69903634359
1134,2475.7684215407
1135,2711.63936044692
1136,2611.61947611137
1137,2986.82212250417
1138,5669.00180955462
1139,9048.00081732915
1140,16021.0713708003
1141,5650.55159450603
1142,5923.14925139217
1143,9676.81627562848
1144,5687.27831248595
1145,4636.51145371436
1146,5590.37816325255
1147,4350.38607662815
1148,2475.7684215407
1149,2674.1035398702
1150,5689.86341765707
1151,2713.41536302124
1152,5653.95271097954
1153,5392.54598406075
1154,2421.40749981458
1155,6413.81289754225
1156,12609.1692819435
1157,2442.10060539547
1158,5195.98686830557
1159,2713.41536302124
1160,5863.08645561397
1161,3046.18645116086
1162,9027.61076251577
1163,2814.52573132495
1164,9106.23440881784
1165,2927.89006389398
1166,2397.14477523863
1167,9165.76257466501
1168,5511.75451695047
1169,3046.18645116086
1170,2870.66265562539
